,"Ramirez-Rosa, Carlos","Sadlowski Garza, Susan","Waguespack, Scott","Osterman, Harry","Reilly, Brendan","Mell, Deborah","Hopkins, Brian","Taliaferro, Chris","Maldonado, Roberto","Silverstein, Debra L.","Villegas, Gilbert","Santiago, Milagros S.","Napolitano, Anthony V.","Ervin, Jason C.","King, Sophia D.","Moore, David H.","Munoz, Ricardo","Arena, John","Tabares, Silvana","Smith, Michele","Pawar, Ameya","Cardenas, George A.","Moreno, Proco Joe","Foulkes, Toni","Lopez, Raymond A.","Zalewski, Michael R.","Hairston, Leslie A.","Moore, Joseph","Scott, Jr. Michael","Quinn, Marty","Cappleman, James","O'Shea, Matthew J.","Dowell, Pat","Laurino, Margaret","Brookins, Jr., Howard","Solis, Daniel","Mitts, Emma","Burke, Edward M.","Sawyer, Roderick T.","Reboyras, Ariel","Tunney, Thomas","Beale, Anthony","Austin, Carrie M.","Harris, Michelle A.","Mitchell, Gregory I.","Burnett, Jr., Walter","Sposato, Nicholas","O'Connor, Patrick","Thompson, Patrick D.","Cochran, Willie","Curtis, Derrick G.","Burns, William D."
"Tabares, Silvana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Smith, Michele",6,4,9,5,6,5,3,1,0,2,0,1,3,0,2,1,3,8,0,10,6,3,3,3,1,1,2,2,1,2,1,2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,1,0
"Pawar, Ameya",5,4,7,5,5,4,3,1,0,2,0,1,1,0,2,1,3,7,0,6,7,3,3,3,1,1,2,2,1,1,2,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Cardenas, George A.",3,5,4,3,3,3,2,1,0,1,0,0,1,1,2,2,4,4,0,3,3,5,2,1,0,2,3,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Moreno, Proco Joe",3,3,3,3,3,2,2,1,0,1,0,0,1,0,0,0,2,3,0,3,3,2,4,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Foulkes, Toni",3,5,7,3,2,4,1,5,1,2,0,4,2,3,5,5,2,4,0,3,3,1,1,8,2,1,4,2,3,1,1,1,6,0,2,0,2,0,1,0,0,2,2,2,3,2,1,0,0,4,3,0
"Lopez, Raymond A.",2,2,3,1,0,1,1,1,1,1,0,2,2,0,1,2,2,2,0,1,1,0,0,2,5,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
"Zalewski, Michael R.",1,3,2,1,1,0,0,3,1,1,0,0,3,1,1,2,1,2,0,1,1,2,1,1,0,4,3,0,1,2,0,3,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
"Hairston, Leslie A.",3,6,8,2,3,3,0,5,1,2,0,2,3,4,6,8,3,4,0,2,2,3,0,4,1,3,12,1,2,1,1,2,7,0,3,0,2,0,2,0,2,2,2,2,3,2,3,0,0,4,3,0
"Moore, Joseph",2,1,2,1,1,2,1,0,0,1,0,1,0,0,2,1,1,2,0,2,2,1,0,2,1,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scott, Jr. Michael",1,3,3,1,1,2,0,3,0,1,0,2,1,2,2,2,0,1,0,1,1,0,1,3,0,1,2,0,3,1,0,1,3,0,2,0,2,0,0,0,0,2,2,2,2,2,0,0,0,3,2,0
"Quinn, Marty",1,1,2,1,1,0,0,2,1,1,0,0,3,0,0,0,0,2,0,2,1,0,1,1,0,2,1,0,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0
"Cappleman, James",1,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,1,2,0,1,2,1,0,1,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"O'Shea, Matthew J.",1,2,2,1,1,0,0,3,1,1,0,0,4,1,0,1,0,2,0,2,1,1,1,1,0,3,2,0,1,3,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0
